geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Atp6v1h	7923.99816	0.426435242	0.099075419	4.304147748	1.68e-05	0.000653982
Prex2	889.1054975	-1.035684099	0.149284837	-6.937637607	3.99e-12	2.51e-09
Sbspon	421.5595954	-1.137955927	0.20798975	-5.471211569	4.47e-08	5.35e-06
Cnnm3	979.1307423	-0.445578988	0.120037031	-3.712012723	0.000205618	0.004716497
Sema4c	1312.157104	-1.043558087	0.214231067	-4.871179984	1.11e-06	7.72e-05
Map4k4	4816.880145	-0.438827876	0.077025041	-5.69721058	1.22e-08	1.78e-06
Col3a1	1818.921627	-0.90103409	0.159558756	-5.647036327	1.63e-08	2.29e-06
Col5a2	753.8131794	-0.889279767	0.192249904	-4.6256448	3.73e-06	0.000200933
Hspd1	8084.788882	0.376665226	0.095746952	3.933965714	8.36e-05	0.002362081
Rftn2	416.2172695	-0.708438645	0.164446015	-4.308031691	1.65e-05	0.000644343
Clk1	1173.608013	-1.013479901	0.194013996	-5.22374634	1.75e-07	1.68e-05
Ino80d	1318.855065	-0.46711906	0.132676689	-3.520731971	0.000430357	0.008305324
Lancl1	6121.798189	0.35128963	0.08743479	4.017732891	5.88e-05	0.00178957
Xrcc5	1164.483371	0.438215696	0.10268202	4.267696475	1.98e-05	0.000750299
6030407O03Rik	31.07395487	-2.029146919	0.496049543	-4.090613425	4.3e-05	0.001406441
Ctdsp1	1173.424538	-0.758747384	0.1658792	-4.57409599	4.78e-06	0.000237076
Cdk5r2	11634.55201	0.261739985	0.063770667	4.104394662	4.05e-05	0.001345733
Glb1l	146.9347314	-1.231504044	0.306789089	-4.014171591	5.97e-05	0.001807938
Chpf	4943.911276	0.283349641	0.078868273	3.592694872	0.000327276	0.006776808
Slc4a3	1275.375688	-0.734136483	0.20008011	-3.669212716	0.000243299	0.005368146
Dock10	1056.062977	-0.414789888	0.113480398	-3.655167738	0.000257014	0.005610888
Irs1	415.5318767	-0.92198393	0.168976807	-5.456275004	4.86e-08	5.68e-06
Pid1	505.2422949	0.425497756	0.115887402	3.671648086	0.000240991	0.0053335
Dgkd	1383.20443	-0.418487072	0.107149526	-3.905636258	9.4e-05	0.002605813
Col6a3	468.1910313	-1.295218881	0.194662169	-6.653675378	2.86e-11	1.33e-08
Sned1	228.1335574	-1.191725693	0.267782883	-4.450343055	8.57e-06	0.00038418
2-Sep	2282.932519	-0.433627601	0.117157626	-3.701232408	0.000214555	0.004859885
Rnf152	141.3749355	-1.260233724	0.351062234	-3.589772985	0.000330966	0.006814229
Cdh19	1865.098466	-0.753865207	0.104471205	-7.216009509	5.35e-13	4.56e-10
Steap3	2369.205053	0.517416125	0.140848684	3.673560235	0.000239194	0.005301834
Slc35f5	1211.47079	0.489732893	0.140516869	3.48522491	0.000491724	0.009179511
Mgat5	465.3063593	-0.916806042	0.264302257	-3.468778702	0.00052283	0.009554849
Cd55	17168.7731	0.475592431	0.114877214	4.140006656	3.47e-05	0.001171739
Elk4	315.2421301	-1.059472312	0.286208954	-3.701744114	0.000214123	0.004857695
Mdm4	433.9343163	-1.343169667	0.222801024	-6.028561463	1.65e-09	3.74e-07
Zbed6	286.7207209	-1.163382161	0.296698191	-3.921096234	8.81e-05	0.002463012
Csrp1	5079.135896	-0.49070561	0.122313415	-4.011870737	6.02e-05	0.001808934
Fam129a	587.1798697	-0.691905485	0.129567076	-5.340133532	9.29e-08	9.88e-06
Lamc1	2041.497956	-0.671152785	0.119740327	-5.605068905	2.08e-08	2.84e-06
Rasal2	2485.714274	-0.530413216	0.111787405	-4.744838791	2.09e-06	0.000124807
Fmo2	312.8961544	-1.079624073	0.274760639	-3.929325825	8.52e-05	0.002398752
Prrx1	159.8059352	-1.13957586	0.32107334	-3.549269652	0.000386301	0.007628001
Blzf1	950.9376244	0.441679297	0.119467541	3.697065284	0.000218106	0.00493261
Sft2d2	1300.48896	-0.721302784	0.139168324	-5.1829523	2.18e-07	2e-05
Mpzl1	847.0547037	-0.842082629	0.141663953	-5.94422653	2.78e-09	5.91e-07
Pou2f1	381.4786907	-0.848264147	0.193566853	-4.382279997	1.17e-05	0.000503814
Mpz	75504.65391	-1.128195594	0.255322653	-4.418705428	9.93e-06	0.000439144
Kcnj10	2274.180634	-0.511504687	0.103032168	-4.964514469	6.89e-07	5.25e-05
Ephx1	3788.280023	0.305690141	0.087841575	3.480016626	0.000501383	0.009283092
Ptpn14	670.9386791	-0.913387852	0.211205979	-4.324630648	1.53e-05	0.000613033
Slc30a1	703.4882999	-0.593843777	0.153924478	-3.858020395	0.000114309	0.003041379
Akap12	46073.23998	-0.333585637	0.052642497	-6.336812514	2.35e-10	7.53e-08
Sash1	1690.663813	-0.663016681	0.101377257	-6.540092945	6.15e-11	2.48e-08
Utrn	12286.63313	-0.370130457	0.072916798	-5.076065725	3.85e-07	3.19e-05
Gpr126	988.9570422	-0.586553513	0.12118503	-4.840148272	1.3e-06	8.65e-05
Sgk1	1080.003376	-0.790753194	0.147087746	-5.376064376	7.61e-08	8.29e-06
Enpp1	238.6807173	-1.506473398	0.291118765	-5.174772572	2.28e-07	2.04e-05
Epb4.1l2	2782.732779	-0.751561818	0.139569583	-5.384853923	7.25e-08	7.95e-06
Tmem200a	1716.543508	0.493143415	0.137298255	3.591767522	0.000328443	0.00678157
Lama2	1003.788893	-0.735931598	0.130169271	-5.653650786	1.57e-08	2.23e-06
Soga3	7059.547107	0.516033119	0.135435636	3.810172389	0.00013887	0.003489589
Hey2	1357.873906	-0.61275726	0.121981282	-5.023371203	5.08e-07	3.99e-05
Lama4	1295.894294	-0.527947262	0.115770775	-4.560280981	5.11e-06	0.000248959
Cdk19	1387.551261	-0.553982927	0.123161764	-4.498010672	6.86e-06	0.000320259
Sesn1	1857.825678	-0.471654376	0.108901975	-4.330999295	1.48e-05	0.000601803
Prep	2457.550478	0.375161317	0.104524215	3.589228733	0.000331658	0.00681877
Gja1	967.8550749	-0.73848875	0.142866593	-5.169079314	2.35e-07	2.09e-05
Chst3	317.7582486	-1.102001255	0.202185048	-5.450458705	5.02e-08	5.82e-06
Ctnna3	91.6094983	-1.622313699	0.300282218	-5.402629931	6.57e-08	7.37e-06
Reep3	1228.894186	-0.41986596	0.105743914	-3.970592183	7.17e-05	0.002071261
Jmjd1c	1277.219615	-0.490933824	0.113916876	-4.309579409	1.64e-05	0.000641584
Arid5b	379.983297	-0.950933038	0.24596953	-3.866060315	0.000110608	0.002970194
Rab36	559.9410971	-0.608565141	0.148775627	-4.090489501	4.3e-05	0.001406441
Lss	853.9309537	-0.599203698	0.171153994	-3.500962399	0.000463581	0.008821796
Pcbp3	12809.80688	0.25597767	0.060281499	4.24637204	2.17e-05	0.000812563
Pfkl	3972.665857	0.331454309	0.093369571	3.549917874	0.000385351	0.007619639
Rrp1	9246.53006	0.308445667	0.079690415	3.870549136	0.00010859	0.002942347
Cfd	67.29242195	-2.152405895	0.566773644	-3.797646413	0.000146076	0.00360804
Cnn2	460.2311523	-0.754237284	0.217650094	-3.465366217	0.00052951	0.00964041
Timp3	10109.73331	-0.620344104	0.12283855	-5.050076742	4.42e-07	3.62e-05
Hsp90b1	12919.59217	0.339552315	0.098271909	3.455232708	0.000549818	0.009927044
Gas2l3	1202.472249	-0.976995555	0.159478331	-6.126196262	9e-10	2.36e-07
Lgr5	382.6084467	-0.580513852	0.165250427	-3.512934051	0.000443187	0.008507554
Ptprb	696.9715284	-0.899701527	0.192028354	-4.685253549	2.8e-06	0.000158091
Cct2	7262.592463	0.292992988	0.073529086	3.984722315	6.76e-05	0.001976137
Ctdsp2	2937.954745	-0.682378061	0.124090475	-5.499036583	3.82e-08	4.72e-06
Avil	31529.42148	0.439169163	0.115785189	3.792964948	0.000148859	0.003645664
Dctn2	17432.73348	0.271752655	0.072473534	3.749681308	0.000177059	0.004173874
Gli1	223.1304428	-1.565381282	0.310171318	-5.046827965	4.49e-07	3.65e-05
Lrp1	4553.924482	-0.494596649	0.121055741	-4.085693454	4.39e-05	0.001420015
Atp5b	42863.00334	0.316653991	0.075960857	4.168646888	3.06e-05	0.001071262
Baz2a	2014.599152	-0.439258896	0.111488351	-3.939953287	8.15e-05	0.00231293
Erbb3	1453.877531	-1.009652587	0.125429012	-8.049593696	8.31e-16	1.72e-12
Dgka	535.9131881	-0.641832472	0.174050857	-3.687614549	0.000226366	0.005079728
Smtn	1411.210475	-0.990332327	0.192968507	-5.132093017	2.87e-07	2.48e-05
Dusp18	361.190627	-0.882986334	0.22906552	-3.854732634	0.000115856	0.003060041
Emid1	420.7210373	-1.025942759	0.294616054	-3.482304323	0.000497118	0.009248447
Tns3	3679.755596	-0.65791909	0.107430586	-6.124131995	9.12e-10	2.36e-07
Vstm2a	930.6926903	0.52986466	0.139594538	3.79574064	0.000147203	0.003629678
Cct4	4312.618204	0.365817769	0.091502026	3.997919896	6.39e-05	0.001899202
Rhbdf1	746.2937998	-0.699145218	0.187623086	-3.726328314	0.000194289	0.00450664
Sh3pxd2b	1898.064115	-0.540836546	0.113017116	-4.78543929	1.71e-06	0.000107837
Slit3	139.8257533	-1.182224068	0.340796296	-3.469005037	0.00052239	0.009554849
Cnot6	1220.289063	-0.560832948	0.149503567	-3.751301447	0.000175919	0.004153756
Sqstm1	29333.60067	0.313023516	0.069807236	4.484112731	7.32e-06	0.000337583
Col23a1	1432.274879	-0.914481852	0.188256704	-4.857632328	1.19e-06	8.12e-05
Slc22a21	80.09519924	-1.338472178	0.372616044	-3.592094863	0.00032803	0.00678157
Anxa6	22623.78427	0.342262589	0.092300357	3.70813939	0.000208788	0.004781635
Slc36a2	727.3213401	-1.056781227	0.254159337	-4.15794768	3.21e-05	0.00110928
Sparc	32067.99283	-0.749888611	0.184118032	-4.072868927	4.64e-05	0.001480479
Gm1821	3514.14899	0.525749052	0.130774667	4.020266796	5.81e-05	0.001778872
Trpv2	3119.970672	0.478818407	0.113531978	4.217476116	2.47e-05	0.000907571
Pmp22	53473.61666	-0.621492979	0.11659439	-5.330384913	9.8e-08	1.03e-05
Pfas	494.590992	-0.62903976	0.180096104	-3.49280049	0.000477983	0.008961571
Per1	1146.803868	-0.906195201	0.183477008	-4.939012307	7.85e-07	5.83e-05
Atp1b2	2991.885281	-0.585187857	0.124834305	-4.687716717	2.76e-06	0.000157232
Myo1c	1551.396228	-0.549940279	0.119823391	-4.589590351	4.44e-06	0.000229577
Tusc5	31474.10268	0.204919548	0.05861891	3.495792569	0.000472656	0.008907842
Pipox	92.66178387	-1.216244504	0.31456164	-3.86647432	0.00011042	0.002970194
Tlcd1	374.6925756	-0.872887015	0.217462422	-4.013967132	5.97e-05	0.001807938
Rab34	551.4517858	-1.017972192	0.236090121	-4.311794953	1.62e-05	0.000636913
Lgals9	2730.137203	0.358998184	0.103398665	3.471980842	0.000516633	0.009501587
Vezf1	1138.463409	-0.427855078	0.122527284	-3.491916758	0.000479568	0.008968039
Acsf2	301.3615182	-0.856900391	0.179731379	-4.7676727	1.86e-06	0.000114501
Spop	6956.340745	-0.306914091	0.086614459	-3.543450982	0.000394927	0.007743414
Zfp652	196.013844	-0.856270886	0.231208428	-3.703458795	0.00021268	0.004840136
Hoxb3	452.3498025	-0.713176182	0.193299643	-3.689485262	0.000224708	0.005050353
Erbb2	562.633182	-0.842808526	0.174580196	-4.827629612	1.38e-06	9.11e-05
Ormdl3	2112.555975	0.373877822	0.081061714	4.612261481	3.98e-06	0.000211178
Jup	9926.966173	0.410385098	0.087721105	4.678293777	2.89e-06	0.000162284
Cnp	7868.398776	-0.60004794	0.118004478	-5.084959066	3.68e-07	3.07e-05
Aoc3	98.5949498	-1.69931396	0.414524204	-4.099432419	4.14e-05	0.001365517
Gpatch8	2099.630333	-0.65157379	0.133524946	-4.87979069	1.06e-06	7.5e-05
Gjc1	155.3779335	-1.220371988	0.288679903	-4.227422753	2.36e-05	0.000872809
Itgb3	462.0636774	-1.212904613	0.218870283	-5.541659641	3e-08	3.8e-06
Abca8b	1889.329167	-0.636319366	0.10854273	-5.862385881	4.56e-09	7.95e-07
Abca8a	7051.721106	-0.708198365	0.083999414	-8.430991733	3.43e-17	2.48e-13
Abca9	468.5960848	-0.71431689	0.206408364	-3.460697401	0.000538778	0.009784534
Kcnj2	178.1084019	1.1755755	0.31973099	3.676764337	0.000236211	0.005259875
Kif19a	994.6545596	-0.937953633	0.204938579	-4.576754831	4.72e-06	0.000237076
Slc9a3r1	2792.529457	-0.538260949	0.11432306	-4.708244766	2.5e-06	0.000144989
Caskin2	1418.776741	-0.920190596	0.15047891	-6.115080171	9.65e-10	2.45e-07
Itgb4	1888.487652	-0.683889074	0.157177156	-4.35107169	1.35e-05	0.000561698
