geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Rhbdf2	347.6750548	-0.718967491	0.179190754	-4.012302395	6.01e-05	0.001808934
Tnrc6c	1644.928906	-0.58650501	0.120429742	-4.870101046	1.12e-06	7.72e-05
Nptx1	8849.210755	0.382750838	0.109466536	3.496510011	0.000471387	0.008902918
Aatk	11196.99358	-0.553642667	0.098266995	-5.6340653	1.76e-08	2.45e-06
B3gntl1	143.2029944	-0.833311188	0.238498586	-3.493987965	0.000475862	0.008933377
Asxl2	763.5657463	-0.614590725	0.131668946	-4.667696857	3.05e-06	0.00017022
Dnmt3a	1161.212967	-0.830487524	0.172047814	-4.827073979	1.39e-06	9.11e-05
Ddx1	5864.361723	0.303012973	0.079395825	3.816484969	0.000135366	0.003417823
Pdia6	4338.030368	0.416460105	0.102522534	4.062132378	4.86e-05	0.001533376
Adam17	637.4452443	-0.664629329	0.17793823	-3.735168827	0.000187589	0.004365487
Mboat2	1154.252415	-0.694811635	0.133313183	-5.211874941	1.87e-07	1.77e-05
Pxdn	1167.145581	-0.977387514	0.165371337	-5.910259488	3.42e-09	6.68e-07
Tmem18	1336.80246	-0.487765623	0.0920656	-5.298022504	1.17e-07	1.18e-05
Fam150b	301.5811341	1.189211566	0.268672965	4.426242007	9.59e-06	0.000427045
Lamb1	2846.164072	-0.576224343	0.121667875	-4.736043467	2.18e-06	0.000129276
Sostdc1	1028.878911	-0.721516819	0.160325042	-4.500337638	6.78e-06	0.000317798
Scin	517.3821468	0.790141134	0.217254503	3.636937894	0.000275898	0.005863956
Atl1	7721.060608	0.324436724	0.092254397	3.516761625	0.000436846	0.008419318
Rtn1	35241.07126	0.313968792	0.086054562	3.64848514	0.000263791	0.005722473
Mnat1	897.8431791	0.496247774	0.118965949	4.171342973	3.03e-05	0.001061754
Syne2	1599.71272	-0.551199837	0.11725368	-4.700917141	2.59e-06	0.000148758
Sptb	3861.277129	-0.751211892	0.150082475	-5.00532718	5.58e-07	4.29e-05
Galnt16	978.4501479	-1.157766533	0.177197115	-6.533777545	6.41e-11	2.51e-08
Sipa1l1	1427.095547	-0.630773825	0.145571501	-4.333085958	1.47e-05	0.000598982
Ltbp2	151.431314	-1.75542912	0.371087748	-4.730496039	2.24e-06	0.000131779
Ahsa1	5810.486458	0.434400659	0.084665931	5.130761018	2.89e-07	2.49e-05
Ptpn21	747.4855678	-0.947843776	0.187700609	-5.049763992	4.42e-07	3.62e-05
Fbln5	3386.14696	-0.420756414	0.10029876	-4.195031072	2.73e-05	0.000979901
Clmn	518.8303396	-1.109991607	0.201512619	-5.508298254	3.62e-08	4.52e-06
Syne3	294.7091296	-1.111946237	0.259103793	-4.291508913	1.77e-05	0.000688633
Hsp90aa1	44473.43028	0.597382497	0.123775585	4.826335462	1.39e-06	9.11e-05
Klc1	81726.61699	0.347466354	0.082975554	4.187574964	2.82e-05	0.001007644
Itgb8	784.951968	-1.417997421	0.258217034	-5.491494488	3.99e-08	4.85e-06
Net1	838.6155999	-0.79893234	0.211492092	-3.777599115	0.000158347	0.003807179
Pfkp	16609.45272	0.437163253	0.107097094	4.081933862	4.47e-05	0.00143336
Gpr137b-ps	824.9391909	-0.456135098	0.126557947	-3.604160056	0.000313164	0.006540745
Nid1	2355.300085	-0.70121756	0.123859347	-5.661402047	1.5e-08	2.17e-06
Epdr1	13624.33973	0.369127516	0.090370051	4.084622203	4.41e-05	0.001420015
Mboat1	361.0579019	-1.090918858	0.226866868	-4.80863013	1.52e-06	9.78e-05
Wrnip1	2413.800278	0.363006318	0.076594124	4.739349457	2.14e-06	0.000127708
Serpinb6a	19684.25665	0.259117379	0.073323238	3.533905297	0.000409468	0.00797663
Tubb2a	21139.46037	0.579376424	0.126534347	4.578807559	4.68e-06	0.000236662
Rreb1	217.1552576	-0.954363083	0.220523049	-4.327724873	1.51e-05	0.000609111
Mylip	436.4761073	-0.795477982	0.173445017	-4.586340938	4.51e-06	0.000232347
Atxn1	1577.155253	-0.486298923	0.107898546	-4.507001646	6.58e-06	0.000308983
Kif13a	1334.553736	-0.584814325	0.108376347	-5.396143523	6.81e-08	7.52e-06
Ptpdc1	2485.695448	-0.515718536	0.101345038	-5.088739849	3.6e-07	3.04e-05
Ogn	3103.13401	-0.869000873	0.17273052	-5.030963114	4.88e-07	3.88e-05
2210016F16Rik	553.8581153	0.601100781	0.157921927	3.806316156	0.000141052	0.00351392
Ptch1	755.3000563	-0.911007667	0.206635482	-4.408766865	1.04e-05	0.000450518
Ctsl	31828.56636	0.503553688	0.102924293	4.892466811	9.96e-07	7.17e-05
Slc9a3	52.17661055	-1.973205884	0.52406026	-3.765227085	0.000166398	0.003961253
Rhobtb3	1408.418257	-0.895781626	0.118288265	-7.572869777	3.65e-14	4.06e-11
Fam151b	111.8963206	1.319023077	0.273893683	4.815821465	1.47e-06	9.56e-05
Crhbp	28.02970241	3.315881589	0.870232841	3.810338373	0.000138777	0.003489589
Iqgap2	469.5747261	-0.853397382	0.16298777	-5.235959625	1.64e-07	1.59e-05
F2rl2	3673.722706	0.399244267	0.104112336	3.834745056	0.000125695	0.003250568
Pik3r1	8557.217978	-0.298361483	0.075322353	-3.961128026	7.46e-05	0.002143857
Erbb2ip	1056.957354	-0.747408595	0.129992643	-5.749622274	8.94e-09	1.35e-06
Map3k1	1042.36126	-0.499709863	0.129885049	-3.847323962	0.000119415	0.003142569
Flnb	1993.240864	-0.709092783	0.122654499	-5.781221132	7.42e-09	1.17e-06
Fam107a	722.9168775	-0.844710136	0.186687334	-4.524731904	6.05e-06	0.000288869
Psmd6	3920.354764	0.308943086	0.086897769	3.555247614	0.000377623	0.007487287
Nr1d2	1762.998688	-0.495326407	0.104294172	-4.749320096	2.04e-06	0.00012309
Nid2	494.3326861	-0.880712922	0.204110774	-4.314877196	1.6e-05	0.000633254
Anxa7	9954.465882	0.278608317	0.071958069	3.871814831	0.000108028	0.002933579
Usp54	503.2398656	-0.60262131	0.159406884	-3.780397029	0.000156578	0.003777195
Adk	7867.583025	0.458521954	0.095936153	4.779449052	1.76e-06	0.000110138
Kat6b	610.9257466	-0.622165696	0.158022201	-3.937204331	8.24e-05	0.002334999
Zcchc24	1540.074554	-0.816948842	0.137062836	-5.960396435	2.52e-09	5.44e-07
Prkcd	14323.81019	0.538375762	0.131802433	4.08471793	4.41e-05	0.001420015
Stab1	390.6788479	-0.940971828	0.268102786	-3.509742824	0.00044854	0.008598904
Sema3g	962.2086383	-0.836264105	0.186522096	-4.483458665	7.34e-06	0.000337583
Sh3bp5	1355.332835	-0.710592738	0.159143328	-4.465111701	8e-06	0.000360844
Ankrd28	779.6904613	-0.8045873	0.154201357	-5.217770544	1.81e-07	1.72e-05
Peli2	1462.837417	-0.870463688	0.130135539	-6.688900613	2.25e-11	1.08e-08
Rpph1	372.28674	-3.466557228	0.711309533	-4.873486251	1.1e-06	7.67e-05
Arhgef40	1856.326788	-0.358861184	0.093123398	-3.853609231	0.000116389	0.003068522
Slc7a7	3019.258278	0.457273217	0.116292655	3.932090277	8.42e-05	0.002375949
Lrp10	6065.834015	0.333928101	0.083121197	4.017363967	5.89e-05	0.00178957
Ajuba	193.3085194	-1.196214038	0.311354627	-3.841966475	0.000122053	0.003200127
Efs	294.9637518	-0.763623919	0.215451116	-3.544302458	0.000393653	0.007730989
Myh6	139.7385289	-1.84257924	0.463661079	-3.973978672	7.07e-05	0.002054317
Cpne6	14339.71976	0.342083647	0.075857559	4.509552541	6.5e-06	0.000308294
Ipo4	3288.868693	0.359769552	0.100540003	3.578372213	0.000345741	0.007048244
Nynrin	437.7320668	-0.909855686	0.197890534	-4.597772665	4.27e-06	0.000223944
Ctsb	68049.21597	0.283872478	0.064358306	4.410813387	1.03e-05	0.000448353
Kif13b	1020.680222	-0.686872843	0.161808188	-4.244981976	2.19e-05	0.000815509
Fzd3	1605.957013	-0.407268218	0.117439922	-3.467885628	0.00052457	0.009574569
Clu	14467.77083	0.346092364	0.083329601	4.153294391	3.28e-05	0.001124042
Egr3	157.3404877	-1.4710673	0.422228981	-3.48405099	0.000493885	0.009200125
Sorbs3	1285.338923	-0.992692287	0.171314424	-5.794563367	6.85e-09	1.1e-06
Bmp1	607.5706726	-0.914044779	0.211903349	-4.313498516	1.61e-05	0.000634784
Hr	962.1615767	-0.713741109	0.131742472	-5.417699396	6.04e-08	6.88e-06
Rgcc	1231.643758	-0.624320295	0.169855988	-3.675586022	0.000237304	0.005269822
Kctd12	530.1436011	-1.14189025	0.183826906	-6.211768848	5.24e-10	1.49e-07
Ednrb	3901.680625	-0.604772335	0.117760362	-5.135618837	2.81e-07	2.45e-05
Pou4f1	9065.616664	0.264427113	0.066090828	4.000965334	6.31e-05	0.001882653
Gpc5	489.6996039	1.187893065	0.202046568	5.879303358	4.12e-09	7.65e-07
Mtmr12	620.6086916	-0.455569489	0.118891324	-3.831814413	0.000127202	0.003268853
Pdzd2	3038.362163	-0.701744415	0.114929456	-6.105870841	1.02e-09	2.55e-07
Myo10	1658.910625	-0.522592819	0.113211113	-4.616091166	3.91e-06	0.00020885
11-Mar	786.7789525	0.670386344	0.149526887	4.483383279	7.35e-06	0.000337583
Cct5	8054.663862	0.347695797	0.070696997	4.918112646	8.74e-07	6.39e-05
Matn2	3507.442513	-0.6481195	0.083257272	-7.784539242	7e-15	9.21e-12
Atp6v1c1	6421.914533	0.308381747	0.079713273	3.868637391	0.000109445	0.00295543
Sybu	3309.179216	0.393112401	0.106809689	3.680493823	0.000232783	0.005199532
Kcnv1	1256.375373	0.755512238	0.144158659	5.240838398	1.6e-07	1.56e-05
Col14a1	450.0517419	-0.787852021	0.217598404	-3.62067003	0.000293841	0.006181767
Phf20l1	717.149136	-0.984401457	0.143604282	-6.854958964	7.13e-12	4.13e-09
Ndrg1	17330.47987	-0.689489485	0.148679734	-4.637414036	3.53e-06	0.000191968
Trappc9	4747.604529	0.419642178	0.092400207	4.541571826	5.58e-06	0.000269392
Scrib	918.7576339	-0.671088288	0.16511692	-4.064321751	4.82e-05	0.001522372
Plec	26535.70529	-0.349739432	0.095045123	-3.679719923	0.00023349	0.0052073
Grina	20148.74307	0.28020338	0.05118568	5.474253315	4.39e-08	5.3e-06
Foxred2	247.6801837	-0.874622729	0.18928452	-4.620677531	3.82e-06	0.000205042
Eif3d	3363.533413	0.31995113	0.090264174	3.5446082	0.000393197	0.007730989
Sox10	3381.957988	-0.834257503	0.141155253	-5.91021225	3.42e-09	6.68e-07
Tnrc6b	2687.282276	-0.428948675	0.114840976	-3.735153515	0.000187601	0.004365487
Ep300	1284.937122	-0.561424276	0.133616841	-4.201747868	2.65e-05	0.000956013
Tef	4345.158604	-0.410420734	0.087562573	-4.687170782	2.77e-06	0.000157232
Cyp2d22	798.7110796	-0.771646841	0.197669468	-3.90372296	9.47e-05	0.002621488
Ncaph2	3689.609662	0.236767342	0.066482774	3.561333671	0.000368976	0.007397304
Adamts20	210.8613963	-1.297922683	0.355639206	-3.649548931	0.000262701	0.0057178
Arid2	884.0099962	-0.450409689	0.118772979	-3.792189876	0.000149325	0.003645846
Amigo2	1849.071293	0.51389986	0.13286578	3.867812019	0.000109816	0.002959927
Rapgef3	389.2967792	-1.162182172	0.207097525	-5.611762727	2e-08	2.76e-06
Hdac7	491.0280292	-0.877823249	0.243865786	-3.599616258	0.000318687	0.006617902
Adcy6	1068.570215	-0.835402371	0.137340675	-6.082701803	1.18e-09	2.9e-07
Ddn	1122.069571	-1.354164388	0.215024558	-6.29771968	3.02e-10	9.11e-08
Kmt2d	3208.387513	-0.943381164	0.128549605	-7.338654705	2.16e-13	1.95e-10
Dhh	2007.185162	-0.521683099	0.135846099	-3.840250871	0.000122909	0.003205369
Nr4a1	1117.531181	-0.531116431	0.145758832	-3.643802751	0.000268639	0.005803411
Tenc1	1340.769542	-0.595369047	0.136473093	-4.362537933	1.29e-05	0.000539365
Spryd3	8900.873259	0.209392624	0.054611843	3.83419807	0.000125975	0.003250568
Csad	693.8278063	-0.690334653	0.195180106	-3.536910936	0.000404836	0.007897033
Zfp740	2486.232003	-0.445405936	0.121429903	-3.668008664	0.000244447	0.0053819
Trap1	2808.350122	0.424732227	0.119336482	3.559114698	0.000372107	0.007428796
Crebbp	1450.742183	-0.50178958	0.140979677	-3.559304359	0.000371838	0.007428796
Sec14l5	145.8896203	-1.933676619	0.312640028	-6.184993758	6.21e-10	1.73e-07
Emp2	2012.012838	-0.734285032	0.134574748	-5.456335915	4.86e-08	5.68e-06
Mkl2	1215.661842	-0.41572442	0.105948241	-3.923844486	8.71e-05	0.002444507
Myh11	385.8180261	-1.252637953	0.302549025	-4.140280919	3.47e-05	0.001171739
Sdf2l1	561.7131272	0.573966446	0.159387216	3.601082084	0.000316895	0.006590151
Scarf2	209.5144004	-1.202734067	0.289147293	-4.159589585	3.19e-05	0.001103971
Clcn2	798.0154711	-0.899382963	0.186858422	-4.813178637	1.49e-06	9.6e-05
Igf2bp2	100.530514	-1.560330606	0.370121924	-4.215720557	2.49e-05	0.000912345
Etv5	3715.536295	0.36905277	0.106376833	3.46929646	0.000521823	0.009554849
Lpp	557.6822713	-0.900726633	0.153525734	-5.866942349	4.44e-09	7.95e-07
Ccdc50	1879.333689	-0.514038378	0.096173634	-5.344899185	9.05e-08	9.7e-06
Dlg1	828.7502006	-0.534122534	0.116269159	-4.593845337	4.35e-06	0.000226561
Pak2	1597.937145	-0.349868822	0.10126107	-3.455116781	0.000550055	0.009927044
Golgb1	3416.949965	-0.446383081	0.098548941	-4.529557374	5.91e-06	0.000283285
Adprh	4796.510625	0.378920524	0.103453721	3.662705598	0.000249565	0.005473043
Arhgap31	2398.799513	-0.609183117	0.132558527	-4.595578485	4.32e-06	0.000225497
Cyyr1	91.48246014	-1.317564411	0.358931073	-3.670800638	0.000241792	0.005343047
Adamts5	1962.884429	-0.804185454	0.099772881	-8.060160738	7.62e-16	1.72e-12
Bach1	755.2987603	-0.684732135	0.116839829	-5.860434268	4.62e-09	7.95e-07
Tiam1	337.8739898	-0.836653084	0.204752377	-4.086170301	4.39e-05	0.001420015
Rcan1	3505.486486	0.265494018	0.071638172	3.706041232	0.000210524	0.004813784
Pisd-ps2	394.0032694	0.726067717	0.158364475	4.584789075	4.54e-06	0.00023325
Qk	6669.860408	-0.92223502	0.115726536	-7.969088615	1.6e-15	2.31e-12
Agpat4	2343.994458	0.48810861	0.121450752	4.018983852	5.84e-05	0.001784811
Lix1	12664.26396	0.253187995	0.072234613	3.505078558	0.000456473	0.008716338
Ppp2r1a	21022.92364	0.407509001	0.086571585	4.707191181	2.51e-06	0.000144989
Srrm2	6570.730339	-0.468692176	0.131450503	-3.56554115	0.000363106	0.007319776
Traf7	983.1081302	-0.433131721	0.112762555	-3.841095319	0.000122487	0.003200127
Pkd1	2547.36113	-0.524960733	0.083292776	-6.302596193	2.93e-10	9.01e-08
Hagh	4740.261819	0.385797071	0.079652022	4.843531433	1.28e-06	8.59e-05
Itpr3	2914.411159	-0.667557535	0.110341452	-6.04992525	1.45e-09	3.44e-07
